Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
109,tt3290276,2021-05-11,2021-05-11,,Jailbait,https://www.imdb.com/title/tt3290276/,video,4.2,90,2014,"Crime, Drama, Romance, Thriller",3414,2014-02-18,Jared Cohn,,
110,tt13269536,2021-05-11,2021-05-11,,Girl in the Basement,https://www.imdb.com/title/tt13269536/,movie,6.3,88,2021,"Crime, Thriller",3084,2021-02-27,Elisabeth Röhm,,
111,tt8228288,2021-05-11,2021-05-11,,El hoyo,https://www.imdb.com/title/tt8228288/,movie,7.0,94,2019,"Horror, Sci-Fi, Thriller",175357,2019-09-06,Galder Gaztelu-Urrutia,,
112,tt0397065,2021-05-11,2021-05-11,,House of Wax,https://www.imdb.com/title/tt0397065/,movie,5.4,113,2005,"Horror, Thriller",116781,2005-04-26,Jaume Collet-Serra,,
113,tt6751668,2021-05-11,2021-05-11,,Gisaengchung,https://www.imdb.com/title/tt6751668/,movie,8.6,132,2019,"Comedy, Drama, Thriller",602416,2019-05-21,Bong Joon Ho,,
114,tt1259521,2021-05-11,2021-05-11,,The Cabin in the Woods,https://www.imdb.com/title/tt1259521/,movie,7.0,95,2011,"Horror, Mystery, Thriller",381933,2011-12-11,Drew Goddard,,
115,tt1823672,2021-05-11,2021-05-11,,Chappie,https://www.imdb.com/title/tt1823672/,movie,6.8,120,2015,"Action, Crime, Drama, Sci-Fi, Thriller",232396,2015-03-04,Neill Blomkamp,,
116,tt6908274,2021-05-11,2021-05-11,,Durante la tormenta,https://www.imdb.com/title/tt6908274/,movie,7.4,128,2018,"Drama, Fantasy, Mystery, Romance, Thriller",45140,2018-11-13,Oriol Paulo,,
117,tt9184592,2021-05-11,2021-05-11,,The Unlisted,https://www.imdb.com/title/tt9184592/,tvSeries,6.6,22,2019,"Family, Sci-Fi, Thriller",618,2019-09-15,,,
118,tt5580390,2021-05-11,2021-05-11,,The Shape of Water,https://www.imdb.com/title/tt5580390/,movie,7.3,123,2017,"Adventure, Drama, Fantasy, Romance, Sci-Fi, Thriller",381008,2017-08-31,Guillermo del Toro,,
119,tt4441280,2021-05-11,2021-05-11,,El cadáver de Anna Fritz,https://www.imdb.com/title/tt4441280/,movie,5.9,76,2015,"Drama, Thriller",5104,2015-03-15,Hèctor Hernández Vicens,,
120,tt4225622,2021-05-11,2021-05-11,,The Babysitter,https://www.imdb.com/title/tt4225622/,movie,6.3,85,2017,"Comedy, Horror",76212,2017-10-13,McG,,
121,tt5442430,2021-05-11,2021-05-11,,Life,https://www.imdb.com/title/tt5442430/,movie,6.6,104,2017,"Horror, Sci-Fi, Thriller",210778,2017-03-18,Daniel Espinosa,,
122,tt1528100,2021-05-11,2021-05-11,,Exodus: Gods and Kings,https://www.imdb.com/title/tt1528100/,movie,6.0,150,2014,"Action, Adventure, Drama, Fantasy",161135,2014-12-03,Ridley Scott,,
123,tt1670345,2021-05-11,2021-05-11,,Now You See Me,https://www.imdb.com/title/tt1670345/,movie,7.3,115,2013,"Crime, Mystery, Thriller",604715,2013-05-21,Louis Leterrier,,
124,tt3110958,2021-05-11,2021-05-11,,Now You See Me 2,https://www.imdb.com/title/tt3110958/,movie,6.5,129,2016,"Action, Adventure, Comedy, Crime, Mystery, Thriller",255142,2016-06-02,Jon M. Chu,,
